cluster,cpufreq,ddrfreq,cost
0,300000,200,0
0,300000,300,0
0,300000,451,0
0,300000,547,0
0,300000,681,0
0,300000,768,0
0,300000,1017,0
0,300000,1353,0
0,300000,1555,0
0,300000,1804,0
0,300000,2092,0
0,403200,200,0
0,403200,300,0
0,403200,451,0
0,403200,547,0
0,403200,681,0
0,403200,768,0
0,403200,1017,0
0,403200,1353,0
0,403200,1555,0
0,403200,1804,0
0,403200,2092,0
0,499200,200,0
0,499200,300,0
0,499200,451,0
0,499200,547,0
0,499200,681,0
0,499200,768,0
0,499200,1017,0
0,499200,1353,0
0,499200,1555,0
0,499200,1804,0
0,499200,2092,0
0,576000,200,0
0,576000,300,0
0,576000,451,0
0,576000,547,0
0,576000,681,0
0,576000,768,0
0,576000,1017,0
0,576000,1353,0
0,576000,1555,0
0,576000,1804,0
0,576000,2092,0
0,672000,200,0
0,672000,300,0
0,672000,451,0
0,672000,547,0
0,672000,681,0
0,672000,768,0
0,672000,1017,0
0,672000,1353,0
0,672000,1555,0
0,672000,1804,0
0,672000,2092,0
0,768000,200,0
0,768000,300,0
0,768000,451,0
0,768000,547,0
0,768000,681,0
0,768000,768,0
0,768000,1017,0
0,768000,1353,0
0,768000,1555,0
0,768000,1804,0
0,768000,2092,0
0,844800,200,0
0,844800,300,0
0,844800,451,0
0,844800,547,0
0,844800,681,0
0,844800,768,0
0,844800,1017,0
0,844800,1353,0
0,844800,1555,0
0,844800,1804,0
0,844800,2092,0
0,940800,200,0
0,940800,300,0
0,940800,451,0
0,940800,547,0
0,940800,681,0
0,940800,768,0
0,940800,1017,0
0,940800,1353,0
0,940800,1555,0
0,940800,1804,0
0,940800,2092,0
0,1036800,200,0
0,1036800,300,0
0,1036800,451,0
0,1036800,547,0
0,1036800,681,0
0,1036800,768,0
0,1036800,1017,0
0,1036800,1353,0
0,1036800,1555,0
0,1036800,1804,0
0,1036800,2092,0
0,1113600,200,0
0,1113600,300,0
0,1113600,451,0
0,1113600,547,0
0,1113600,681,0
0,1113600,768,0
0,1113600,1017,0
0,1113600,1353,0
0,1113600,1555,0
0,1113600,1804,0
0,1113600,2092,0
0,1209600,200,0
0,1209600,300,0
0,1209600,451,0
0,1209600,547,0
0,1209600,681,0
0,1209600,768,0
0,1209600,1017,0
0,1209600,1353,0
0,1209600,1555,0
0,1209600,1804,0
0,1209600,2092,0
0,1305600,200,0
0,1305600,300,0
0,1305600,451,0
0,1305600,547,0
0,1305600,681,0
0,1305600,768,0
0,1305600,1017,0
0,1305600,1353,0
0,1305600,1555,0
0,1305600,1804,0
0,1305600,2092,0
0,1382400,200,0
0,1382400,300,0
0,1382400,451,0
0,1382400,547,0
0,1382400,681,0
0,1382400,768,0
0,1382400,1017,0
0,1382400,1353,0
0,1382400,1555,0
0,1382400,1804,0
0,1382400,2092,0
0,1478400,200,0
0,1478400,300,0
0,1478400,451,0
0,1478400,547,0
0,1478400,681,0
0,1478400,768,0
0,1478400,1017,0
0,1478400,1353,0
0,1478400,1555,0
0,1478400,1804,0
0,1478400,2092,0
0,1555200,200,0
0,1555200,300,0
0,1555200,451,0
0,1555200,547,0
0,1555200,681,0
0,1555200,768,0
0,1555200,1017,0
0,1555200,1353,0
0,1555200,1555,0
0,1555200,1804,0
0,1555200,2092,0
0,1632000,200,0
0,1632000,300,0
0,1632000,451,0
0,1632000,547,0
0,1632000,681,0
0,1632000,768,0
0,1632000,1017,0
0,1632000,1353,0
0,1632000,1555,0
0,1632000,1804,0
0,1632000,2092,0
0,1708800,200,0
0,1708800,300,0
0,1708800,451,0
0,1708800,547,0
0,1708800,681,0
0,1708800,768,0
