cluster,cpufreq,ddrfreq,w1,w2,w3,bias
1,710400,200,0,0,0,0
1,710400,300,0.000604403,-0.00739074,0,26595.14597
1,710400,451,0.001156238,0.045328736,0.018358846,684.3162423
1,710400,547,0.001268254,0.047534866,0,1647.503267
1,710400,681,0.00127903,0.053892024,0,1448.890002
1,710400,768,0.001167815,0.052522472,0,1554.268057
1,710400,1017,0.001179414,0.04434596,0,1133.534122
1,710400,1353,0.001184876,0.037928952,0,900.3881189
1,710400,1555,0.001160904,0.039110135,0,-50.89340037
1,710400,1804,0.001266803,0.025020774,0,705.3470671
1,710400,2092,0.001348874,0.019894597,0,390.0181205
1,825600,200,0,0,0,0
1,825600,300,0.000734606,-0.021294119,0,27687.3896
1,825600,451,0.001161622,0.032451475,0.021494736,497.4085987
1,825600,547,0.000912911,0.027815249,0.02316959,258.8339862
1,825600,681,0.001189723,0.050385696,0,1290.521987
1,825600,768,0.001106598,0.048372675,0,1234.354389
1,825600,1017,0.001103859,0.040098681,0,933.1800726
1,825600,1353,0.001030982,0.038545682,0,565.7993503
1,825600,1555,0.001042608,0.035125032,0,0.67731478
1,825600,1804,0.001157237,0.021865088,0,581.686829
1,825600,2092,0.000893247,0.034712419,0,641.0463704
1,940800,200,0,0,0,0
1,940800,300,0.000840541,-0.011545979,0,24554.80215
1,940800,451,0.000982831,0.036050677,0.020209464,501.5778942
1,940800,547,0.000868875,0.035128924,0.021200446,258.5159363
1,940800,681,0.001064657,0.049433635,0,1216.318469
1,940800,768,0.000949557,0.049368426,0,1006.242489
1,940800,1017,0.000912751,0.044151933,0,582.4238007
1,940800,1353,0.000922872,0.034431775,0,758.0797441
1,940800,1555,0.000906863,0.032289185,0,365.5073141
1,940800,1804,0.000924856,0.025030212,0,757.1292727
1,940800,2092,0.000996247,0.013255626,0,1923.737802
1,1056000,200,0,0,0,0
1,1056000,300,0.001077008,0.036401526,0.01234812,8523.20143
1,1056000,451,0.000982344,0.030987034,0.020558946,201.092906
1,1056000,547,0.000760259,0.035904926,0.020729153,211.8838225
1,1056000,681,0.000928541,0.051558722,0,991.1570483
1,1056000,768,0.000900555,0.047209917,0,875.2729478
1,1056000,1017,0.00085415,0.039337252,0,847.4604853
1,1056000,1353,0.000741659,0.037303715,0,1053.898652
1,1056000,1555,0.000695093,0.015325377,0.016052845,70.4348191
1,1056000,1804,0.000830318,0.022760607,0,1040.520361
1,1056000,2092,0.000698844,0.004165399,0.01821115,9.326027739
1,1171200,200,0,0,0,0
1,1171200,300,0.000953917,0.067686353,0.014140896,3390.531493
1,1171200,451,0.00086504,0.036540666,0.018336833,165.3215131
1,1171200,547,0.000731266,0.034407783,0.019932801,169.2101445
